Date,Open,High,Low,Close,MA_21,Stochastic_Oscillator,ATR,Cumulative_Return,Volatility,Price_Gap,Durable_Goods_Orders_Quarterly,Federal_Funds_Rate_Quarterly,Retail_Sales_Quarterly,Unemployment_Rate_Quarterly,cashAndShortTermInvestments,inventory,shortTermInvestments,otherCurrentAssets,totalCurrentLiabilities,currentAccountsPayable,otherCurrentLiabilities,changeInOperatingLiabilities,changeInOperatingAssets,capitalExpenditures,changeInReceivables,changeInInventory,cashflowFromInvestment,surprisePercentage,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,incomeTaxExpense,Quarterly_Return,Hybrid_Price_Movement_Class,Year
2014-03-31,19.940000534057617,20.402999877929688,16.54400062561035,16.818500518798828,18.86548252686405,48.13078413302253,0.3403286431377327,6.187822266401117,0.5469547002838626,0.0092948225677996,225725.66666666663,0.0733333333333333,353810.6666666667,225725.66666666663,8666000000.0,6716000000.0,3592000000.0,3945000000.0,18357000000.0,10590000000.0,5467000000.0,-3583000000.0,-699000000.0,1080000000.0,727000000.0,-699000000.0,-924000000.0,0.0,3437000000.0,19699000000.0,16262000000.0,14055000000.0,73000000.0,-0.0344561156160457,2,2014
2014-06-30,16.904499053955078,17.415000915527344,14.218999862670898,16.23900032043457,16.061707504572333,47.83006219654016,0.3619903836931501,5.974613946978456,0.6149492340058732,0.0061031674581859,240105.3333333333,0.0933333333333333,392505.6666666667,240105.3333333333,7986000000.0,6644000000.0,2929000000.0,4125000000.0,18751000000.0,10457000000.0,5828000000.0,550000000.0,-92000000.0,1290000000.0,-299000000.0,-92000000.0,-731000000.0,0.0,3467000000.0,19295000000.0,15828000000.0,13399000000.0,94000000.0,-0.007204912711699,2,2014
2014-09-30,16.292999267578125,18.24250030517578,15.229499816894531,16.121999740600586,16.634552799520037,52.35472343988822,0.2727890121085303,5.931567375004378,0.5698953958391657,-0.0166406184434891,255923.0,0.09,390164.3333333333,255923.0,6883000000.0,7316000000.0,1625000000.0,4373000000.0,20842000000.0,11811000000.0,6353000000.0,2793000000.0,845000000.0,1378000000.0,-362000000.0,845000000.0,-946000000.0,-25.0,3257000000.0,20530000000.0,17273000000.0,14627000000.0,-205000000.0,-0.0374953372175163,2,2014
2014-12-31,16.101999282836914,17.062999725341797,14.199999809265137,15.517499923706056,15.736187132341522,46.418135047281154,0.2873643913439341,5.709161256050167,0.498381124964477,-0.0186094492673873,231856.0,0.0999999999999999,410294.3333333333,231856.0,17416000000.0,8299000000.0,2859000000.0,-5612000000.0,28089000000.0,16459000000.0,8287000000.0,6431000000.0,1139000000.0,1145000000.0,-1105000000.0,1139000000.0,-2465000000.0,100.0,29328000000.0,29328000000.0,22988000000.0,20672000000.0,205000000.0,0.1989688824688508,3,2014
2015-03-31,15.628999710083008,19.4685001373291,14.262499809265137,18.604999542236328,17.035492150323826,56.73991595004397,0.2962423722135382,6.845106691000924,0.6793195995042268,0.0122131441460276,218662.3333333333,0.11,361733.3333333333,218662.3333333333,13781000000.0,7369000000.0,3544000000.0,4772000000.0,23177000000.0,11917000000.0,7463000000.0,-2446000000.0,-721000000.0,871000000.0,441000000.0,-721000000.0,-1847000000.0,0.0,4271000000.0,22602000000.0,18331000000.0,15395000000.0,71000000.0,0.1665950407088997,3,2015
2015-06-30,18.604999542236328,22.63249969482422,18.41699981689453,21.70450019836425,20.41185485857144,62.59259258419463,0.3043156535176736,7.985467518844983,0.4815126342521351,0.0450159103151364,227996.3333333333,0.1233333333333333,398208.0,227996.3333333333,14001000000.0,7470000000.0,3732000000.0,4920000000.0,23912000000.0,12391000000.0,7700000000.0,1770000000.0,27000000.0,1213000000.0,-430000000.0,27000000.0,-1376000000.0,200.0,4790000000.0,23071000000.0,18281000000.0,15160000000.0,266000000.0,0.1792254764724602,3,2015
2015-09-30,21.967500686645508,29.028499603271484,21.278499603271484,25.59449958801269,24.58426747009868,63.27962367835133,0.5575350608144495,9.41666673976534,0.991878594772244,0.1294689178466797,222136.3333333333,0.1366666666666667,397801.6666666667,222136.3333333333,14428000000.0,8981000000.0,3719000000.0,5440000000.0,26657000000.0,14437000000.0,8040000000.0,3809000000.0,1537000000.0,1195000000.0,-588000000.0,1537000000.0,-1377000000.0,200.0,5161000000.0,25242000000.0,20081000000.0,16755000000.0,161000000.0,0.3203812923707772,3,2015
2015-12-31,25.549999237060547,34.821998596191406,25.299999237060547,33.79449844360352,30.37065467948005,77.10836573897507,0.5787889042070931,12.433590599676268,1.003793274034234,0.0975314080715186,225263.0,0.16,417477.6666666667,225263.0,19808000000.0,10243000000.0,3918000000.0,-5654000000.0,33887000000.0,20397000000.0,10134000000.0,8562000000.0,1343000000.0,1309000000.0,-1178000000.0,1343000000.0,-1850000000.0,-37.5,35747000000.0,35747000000.0,26787000000.0,24341000000.0,453000000.0,-0.1216913825166992,1,2015
2016-03-31,32.81449890136719,32.88600158691406,23.700000762939453,29.68199920654297,29.16378413132632,47.53915774102074,0.7679326417016203,10.920529769955031,1.449433770160318,-0.0450900343597914,218029.66666666663,0.36,373317.3333333333,218029.66666666663,15859000000.0,9582000000.0,3389000000.0,5072000000.0,28187000000.0,14990000000.0,9341000000.0,-2956000000.0,-769000000.0,1179000000.0,412000000.0,-769000000.0,-693000000.0,66.6667,6385000000.0,29011000000.0,22626000000.0,18866000000.0,475000000.0,0.2054780401076577,3,2016
2016-06-30,29.52449989318848,36.57500076293945,29.262500762939453,35.78099822998047,32.75248123066766,74.24170063101022,0.4971042232854023,13.164458824022743,0.9808818697176576,0.0431486666202546,223338.66666666663,0.3733333333333333,405836.0,223338.66666666663,16540000000.0,9588000000.0,4019000000.0,6092000000.0,29587000000.0,16123000000.0,9572000000.0,3317000000.0,57000000.0,1711000000.0,-1184000000.0,57000000.0,-2439000000.0,50.0,7073000000.0,30288000000.0,23215000000.0,19180000000.0,307000000.0,0.1700484467962661,3,2016
